timestamp_utc,date,price,in_stock
2026-07-13T22:47:00+00:00,2026-07-13,929.99,1
2026-07-13T22:56:25+00:00,2026-07-13,929.99,1
2026-07-14T10:57:50+00:00,2026-07-14,929.99,1
2026-07-14T18:48:30+00:00,2026-07-14,929.99,1
2026-07-15T11:03:38+00:00,2026-07-15,929.99,1
2026-07-15T18:47:02+00:00,2026-07-15,929.99,1
2026-07-16T11:14:10+00:00,2026-07-16,929.99,1
2026-07-16T18:48:21+00:00,2026-07-16,929.99,1
2026-07-17T10:59:35+00:00,2026-07-17,929.99,1
2026-07-17T18:41:37+00:00,2026-07-17,929.99,1
2026-07-18T10:43:24+00:00,2026-07-18,929.99,1
2026-07-18T18:37:59+00:00,2026-07-18,929.99,1
2026-07-19T10:46:46+00:00,2026-07-19,929.99,1
2026-07-19T18:39:41+00:00,2026-07-19,929.99,1
2026-07-20T12:00:13+00:00,2026-07-20,929.99,1
